"","ENSEMBL","annotation","count"
"618","ENSG00000020577","Distal Intergenic",2
"619","ENSG00000020577","Exon",1
"620","ENSG00000020577","Intron",11
"621","ENSG00000020633","3' UTR",3
"622","ENSG00000020633","Distal Intergenic",4
"623","ENSG00000020633","Intron",5
"624","ENSG00000020922","Exon",1
"625","ENSG00000020922","Intron",1
"626","ENSG00000021300","Distal Intergenic",4
"627","ENSG00000021300","Exon",1
"628","ENSG00000021300","Intron",2
"629","ENSG00000021300","Promoter (<=1kb)",1
"630","ENSG00000021355","Distal Intergenic",1
"631","ENSG00000021355","Promoter (<=1kb)",1
"632","ENSG00000021355","Promoter (2-3kb)",1
"633","ENSG00000021461","Distal Intergenic",3
"634","ENSG00000021461","Intron",2
"635","ENSG00000021488","Exon",4
"636","ENSG00000021488","Intron",3
"637","ENSG00000021574","Distal Intergenic",2
"638","ENSG00000021574","Intron",3
"639","ENSG00000021645","Distal Intergenic",2
"640","ENSG00000021645","Intron",13
"641","ENSG00000021762","Distal Intergenic",1
"642","ENSG00000021762","Exon",1
"643","ENSG00000021762","Intron",5
"644","ENSG00000021776","Intron",1
"645","ENSG00000021826","Intron",1
"646","ENSG00000021852","Intron",2
"647","ENSG00000022267","Distal Intergenic",2
"648","ENSG00000022556","Intron",4
