"","ENSEMBL","annotation","count"
"528","ENSG00000010219","Promoter (<=1kb)",1
"529","ENSG00000010219","Promoter (2-3kb)",1
"530","ENSG00000010256","Promoter (<=1kb)",1
"531","ENSG00000010270","Distal Intergenic",8
"532","ENSG00000010270","Intron",4
"533","ENSG00000010270","Promoter (<=1kb)",1
"534","ENSG00000010270","Promoter (1-2kb)",1
"535","ENSG00000010278","Distal Intergenic",3
"536","ENSG00000010278","Intron",1
"537","ENSG00000010278","Promoter (<=1kb)",1
"538","ENSG00000010282","Promoter (<=1kb)",1
"539","ENSG00000010295","Promoter (<=1kb)",1
"540","ENSG00000010295","Promoter (1-2kb)",2
"541","ENSG00000010310","Promoter (<=1kb)",1
"542","ENSG00000010310","Promoter (2-3kb)",1
"543","ENSG00000010318","Promoter (1-2kb)",1
"544","ENSG00000010319","Promoter (<=1kb)",1
"545","ENSG00000010319","Promoter (1-2kb)",1
"546","ENSG00000010322","Intron",1
"547","ENSG00000010322","Promoter (<=1kb)",1
"548","ENSG00000010361","Promoter (<=1kb)",1
"549","ENSG00000010404","5' UTR",1
"550","ENSG00000010404","Distal Intergenic",13
"551","ENSG00000010404","Downstream (1-2kb)",1
"552","ENSG00000010404","Exon",2
"553","ENSG00000010404","Intron",4
"554","ENSG00000010404","Promoter (<=1kb)",2
"555","ENSG00000010404","Promoter (2-3kb)",2
"556","ENSG00000010438","Distal Intergenic",3
"557","ENSG00000010438","Intron",1
"558","ENSG00000010539","Promoter (<=1kb)",1
"559","ENSG00000010626","Promoter (<=1kb)",1
"560","ENSG00000010671","Intron",1
"561","ENSG00000010671","Promoter (<=1kb)",2
"562","ENSG00000010671","Promoter (1-2kb)",1
"563","ENSG00000010803","Distal Intergenic",4
"564","ENSG00000010803","Intron",1
"565","ENSG00000010803","Promoter (<=1kb)",1
"566","ENSG00000010803","Promoter (1-2kb)",1
"567","ENSG00000010810","5' UTR",1
"568","ENSG00000010810","Distal Intergenic",1
"569","ENSG00000010810","Intron",30
"570","ENSG00000010810","Promoter (<=1kb)",3
